,Animal ID,ARN,Animal Name,Animal Type,Species,Primary Breed,Secondary Breed,Distinguishing Markings,Gender,Altered,Danger,Danger Reason,Date Of Birth,Age in Months Intake,Age Group,Intake Asilomar Status,Intake Condition,Intake Record Owner,Intake Date,Intake Type,Intake Subtype,Found Address,Found Zip Code,Reason,Intake SiteName,Jurisdiction In,Agency Name,Agency Member,Agency Member Phone,Agency Address,Intake Person ID,Intake Person ID Type,Intake Person  ,Admitter,Street Number,Street Name,Street Type,Street Direction,Street Direction2,Unit Number,City,Province,Postal Code,Admitter s Email,Admitter s Home Phone,Admitter s Cell Phone,Initial Stage,Initial Review Date,Age in Months Current,Microchip Issue Date,Microchip Provider,Microchip Number,Pet ID,Pet ID Type,Status,Stage,Location,Sublocation,Outcome Asilomar Status,Outcome Number,Released By,Date Created,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome SiteName,Jurisdiction Out,Outcome Reason,Outcome Person #,Outcome Person ID Type,Outcome Person  ,Outcome Person Name,Out Street Address,Out Street Name,Out Street Type,Out Street Direction,Out Street Direction2,Out Unit Number,Out City,Out Province,Out Postal Code,Out Email,Out Home Phone,Out Cell Phone,Outcome Agency Name,Agency Street Number,Agency Street Name,Agency Street Type,Agency Street Direction,Agency Street Direction 2,Agency Unit Number,Agency City,Agency Province,Agency Postal Code,Agency Email,Agency Home Phone,Agency Cell Number,,
1,A37324077,NA,Wendy Willow Puffs,Cat,Cat,Domestic Shorthair,Mix,,F,Yes,No,NA,,NA,6 months to 1 year,,Healthy,Adriana Miller,12/6/2017 9:21,Transfer In,Partner Transfer In,,19106,Rescue,Grays Ferry Avenue,,Cumberland County SPCA,Shannon Abbott,(146) 655-5400,1244 N  Delsea Drive  ,,,P28349659,William Johnson,,,,,,,,,NA,saemwtqnc@te.coy,,,New Arrival,,NA,12/20/2017 0:00,24PetWatch,322222000000000,NA,NA,I,Released,Released,NA,,246,"Lucero, Adrian",12/23/2017 18:07,12/23/2017 18:06,12/23/2017 18:06,Adoption,PAC,PAWS Offsite Adoptions,,,67006037,Government ID,P29555713,Lorem Ipsum,3313,29th,Walk,,,,PHILADELPHIA,PA,8638,lorem@gmail.com,(222) 444-5555,,,,,,,NA,NA,,,NA,,NA,NA,,
2,A37493839,NA,Matilda,Dog,Dog,Pomeranian,Mix,,F,Yes,No,NA,,NA,6 to 10 years,Healthy,Healthy,Vandell Eugene,12/29/2017 16:49,Stray,Public Drop Off,Found near 3200 Comly  Rd,19146,,Grant Avenue,Northeast Philadelphia,,,,,,,P11975244,Raymond Soe,1373,Browning,Parkway,S ,,,PHILADELPHIA,PA,19074,,(782) 870-8872,,New Arrival,,NA,1/2/2018 0:00,24PetWatch,646264000000000,NA,NA,I,Released,Released,NA,Healthy,3617,"Burnett, Sadyan",1/2/2018 17:46,1/2/2018 17:45,1/2/2018 17:45,Return to Owner/Guardian,Stray Reclaim,Grant Avenue,,,24 083 078,Driver License,P29613725,Lorem Ipsum,11137,Bustleton,Avenue,,,324,PHILADELPHIA,PA,19008,lorem@gmail.com,(222) 444-5555,,,,,,,NA,NA,,,NA,,NA,NA,,
3,A37498706,NA,Niles,Cat,Cat,Domestic Shorthair,Mix,,M,No,No,NA,,NA,1 to 2 years,Healthy,Healthy,Rachel Jones,12/30/2017 15:17,Stray,Public Drop Off,19154,19154,,Grays Ferry Avenue,Southwest Philadelphia,,,,,,,P02401272,Jaasim al-Popal,11011,Heflin,Road,,,,PHILADELPHIA,PA,8053,,(141) 111-1111,,New Arrival,,NA,12/30/2017 0:00,24PetWatch,372000000000000,NA,NA,I,Released,Released,NA,Healthy,3618,"Hebert, Sharden",1/2/2018 12:52,1/2/2018 12:51,1/2/2018 12:51,Return to Owner/Guardian,Stray Reclaim,Grant Avenue,,,,,P29598889,Jane Doe,4410,Wayne,Drive,,,2212,PHILADELPHIA,PA,8638,jane@gmail.com,,(333) 555-6666,,,,,,NA,NA,,,NA,,NA,NA,,
4,A37545883,NA,Torty,Cat,Cat,Domestic Shorthair,Mix,,F,Yes,No,NA,,NA,1 to 2 years,Healthy,Healthy,Jazmin Ortega,1/6/2018 12:51,Stray,Public Drop Off,Found at 4000 block Higbee St,19135,,Grant Avenue,Northeast Philadelphia,,,,,12 308 182,Driver License,P29641319,Shantavia Pittman Jr,4050,Washburn,Pike,,,,PHILADELPHIA,PA,19138,,(227) 237-7003,,New Arrival,,NA,1/6/2018 0:00,24PetWatch,121000000000000,NA,NA,I,Released,Released,NA,Healthy,3620,"Andrade, Samantha",1/11/2018 16:23,1/11/2018 16:22,1/11/2018 16:22,Return to Owner/Guardian,Stray Reclaim,Grant Avenue,,,62 666 226,Driver License,P29680049,Antonio Williams,3333,McKean,Square,,,,PHILADELPHIA,PA,18940,,(444) 444-4444,,,,,,,NA,NA,,,NA,,NA,NA,,
5,A37547588,NA,Kit,Cat,Cat,Domestic Shorthair,Mix,,M,Yes,No,NA,,NA,6 to 10 years,Unhealthy/Untreatable,Sick,Nawfa el-Baig,1/5/2018 15:29,Stray,Abandoned at Shelter,abandoned in hallway,19106,,Grant Avenue,Jurisdiction Unknown,,,,,,,P00000001,,,,,,,,,,NA,,,,New Arrival,,NA,,,,NA,NA,H,Released,Released,NA,Unhealthy/Untreatable,1584,,1/6/2018 16:06,1/6/2018 15:36,,Euthanasia,35 Non Treatable Medical,Grant Avenue,,,,,,,,,,,,,,,NA,,,,,,,,,NA,NA,,,NA,,NA,NA,,
6,A37664421,NA,Sasa fka Jabber Jenny,Cat,Cat,Domestic Shorthair,Mix,,F,Yes,No,NA,,NA,2 to 4 years,,Healthy,Naadir el-Bacchus,1/22/2018 14:39,Stray,Public Drop Off,27XX Cantrell Terrace,19145,,Grays Ferry Avenue,19145— South Philadelphia W,,,,,81621868,Driver License,P16824547,Arshad el-Atallah,4226,Hastings,Terrace,,,,PHILADELPHIA,PA,19111,,(377) 700-7732,,New Arrival,,NA,1/25/2018 0:00,24PetWatch,323435000000000,NA,NA,I,Released,Released,NA,,1913,"Som, Sokdaney",2/23/2018 18:24,2/23/2018 18:23,2/23/2018 18:23,Adoption,Foster Home,PAWS Foster Program,,,88888888,Driver License,P29552904,Brianna Palmier,9550,Mt. Vernon,Alley,S ,,,PHILADELPHIA,PA,19047,gmfnpx@njvmfb.vto,(255) 265-1255,,,,,,,NA,NA,,,NA,,NA,NA,,
7,A37926328,NA,Pauly,Cat,Cat,Domestic Shorthair,Mix,,M,No,No,NA,,NA,6 to 10 years,,Sick,Ummu Kulthoom al-Reza,2/25/2018 14:06,Stray,Abandoned at Shelter,uber driver says cat was abandoned in vehicle,19106,,Grays Ferry Avenue,Jurisdiction Unknown,,,,,,,P00000001,,,,,,,,,,NA,,,,New Arrival,,NA,2/25/2018 0:00,24PetWatch,0A16661111,NA,NA,I,Released,Released,NA,,3627,"Thompson, Jaylyn",2/26/2018 10:45,2/26/2018 10:43,2/26/2018 10:43,Return to Owner/Guardian,Stray Reclaim,Grays Ferry Avenue,,,,,P29991097,Marcus Mack,21,5th,Drive,,,,PHILADELPHIA,PA,18902,,(214) 101-5514,,,,,,,NA,NA,,,NA,,NA,NA,,
8,A37931542,NA,Purrfesional Furrtographer Swingster Furman,Cat,Cat,Domestic Shorthair,Mix,,F,Yes,No,NA,,NA,6 months to 1 year,,Healthy,Caleb Stock,2/26/2018 13:09,Stray,Public Drop Off,unknown,19405,,Grays Ferry Avenue,PA Outside City Limits,,,,,,,P22944371,Shareefa el-Dallal,110,Perrin,Drive,W ,,,BRIDGEPORT,PA,19128,,(224) 200-4244,,New Arrival,,NA,2/26/2018 0:00,24PetWatch,634244000000000,NA,NA,I,Released,Released,NA,,2699,"Mcknight, Jasmine",2/28/2018 17:08,2/28/2018 17:07,2/28/2018 17:07,Adoption,PAC,PAWS Offsite Adoptions,,,11342333,Driver License,P30011046,Rayanne Williams,6630A,Woodhaven,Lane,,,B4,PHILADELPHIA,PA,19074,jabsg@ixbagpd.ucs,(744) 334-0347,(143) 101-1333,,,,,,NA,NA,,,NA,,NA,NA,,
9,A37988069,NA,Maple,Dog,Dog,Terrier,Mix,,F,No,No,NA,,NA,6 months to 1 year,,Sick,Juan Bautista,3/5/2018 15:19,Owner/Guardian Surrender,ACCT Diversion,,19133,Health of Animal,Grays Ferry Avenue,,,,,,23214124,Driver License,P30043595,Harley Mestas,2555,Saint Elmo,Circle,N ,,,PHILADELPHIA,PA,10457,cpz@doaceiqpj.med,(445) 600-4546,,New Arrival,,NA,,,,NA,NA,H,Released,Released,NA,,3,,3/6/2018 10:38,3/6/2018 10:37,,Died,General,Grays Ferry Avenue,,,,,,,,,,,,,,,NA,,,,,,,,,NA,NA,,,NA,,NA,NA,,
10,A38026536,NA,Lily of the Valley,Cat,Cat,Domestic Shorthair,Mix,,F,Yes,No,NA,,NA,6 months to 1 year,,Healthy,Luisa Hamilton,3/9/2018 15:29,Stray,Public Drop Off,abandoned on side of road,19405,,Grays Ferry Avenue,PA Outside City Limits,,,,,,,P22944371,Matthew Castillo,440,2ND,Street,W ,,,BRIDGEPORT,PA,8057,,(426) 400-6433,,New Arrival,,NA,3/9/2018 0:00,24PetWatch,424442000000000,NA,NA,I,Released,Released,NA,,2688,"al-Azizi, Almaasa",3/17/2018 13:09,3/17/2018 13:08,3/17/2018 13:08,Adoption,PAC,PAWS Offsite Adoptions,,,46446042,Driver License,P30125607,David Prum,8222,Venus,Crossing,,,223,PHILADELPHIA,PA,19342,bdh@ie.hzm,,(630) 266-0666,,,,,,NA,NA,,,NA,,NA,NA,,
