,Last.name..First.name,First.name.Last.name,Title.First.name.Last.name,Last.name,First.name,Middle.name,Title,Nickname,Status,Type,Access.disabled,Kind,Group.name,Members,Participation,Number,Complete.address,Street.1,Street.2,Street.3,City,State,Zip,Country,No.postal.mail,No.email,No.text.message,All.phone.numbers,Home,Ok.to.call,Work,Ok.to.call.1,Cell,Ok.to.call.2,Text,Fax,Ok.to.call.3,Pager,Ok.to.call.4,Other,Ok.to.call.5,Email,Web.site,Life.hours,Life.hours.value,Life.No.Call.No.Show,Life.No.Call.No.Show.value,Life.Call.Email.to.miss.shift,Life.Call.Email.to.miss.shift.value,Life.Absence,Life.Absence.value,YTD.hours,YTD.hour.value,No.Call.No.Show,No.Call.No.Show.value,Call.Email.to.miss.shift,Call.Email.to.miss.shift.value,Absence,Absence.value,MTD.hours,MTD.value,MTD.No.Call.No.Show,MTD.No.Call.No.Show.value,MTD.Call.Email.to.miss.shift,MTD.Call.Email.to.miss.shift.value,MTD.Absence,MTD.Absence.value,Jan.11.to.Dec.11.hours,Jan.11.to.Dec.11.hour.value,Jan.11.to.Dec.11.No.Call.No.Show,Jan.11.to.Dec.11.No.Call.No.Show.value,Jan.11.to.Dec.11.Call.Email.to.miss.shift,Jan.11.to.Dec.11.Call.Email.to.miss.shift.value,Jan.11.to.Dec.11.Absence,Jan.11.to.Dec.11.Absence.value,Jan.10.to.Dec.10.hours,Jan.10.to.Dec.10.hour.value,Jan.10.to.Dec.10.No.Call.No.Show,Jan.10.to.Dec.10.No.Call.No.Show.value,Jan.10.to.Dec.10.Call.Email.to.miss.shift,Jan.10.to.Dec.10.Call.Email.to.miss.shift.value,Jan.10.to.Dec.10.Absence,Jan.10.to.Dec.10.Absence.value,Date.entered,Start.date,Stop.date,Date.archived,Date.of.birth,Birthday,Age,Age.range,Gender,Spare.dropdown.3,Spare.dropdown.4,Spare.dropdown.5,Spare.dropdown.6,Orientation.Date,Spare.field.2,Spare.field.3,Spare.field.4,Spare.field.5,Spare.field.6,Spare.checkbox.1,Spare.checkbox.2,Spare.checkbox.3,Spare.checkbox.4,Spare.checkbox.5,Spare.checkbox.6,Volunteer.Distribution.list,General.Volunteer.emails,Schedule.reminders,My.availability.is,From,to,I.would.like.to.serve.up.to,hours
1,"Ipsum, Lorem",Lorem Ipsum,Mr. Lorem Ipsum,Ipsum,Lorem,,Mr.,,Active,NA,NA,Individual,NA,NA,NA,8362124,"3203 Castor Ave SCHWENKSVILLE,  19141",3203 Castor Ave,,,SCHWENKSVILLE,,19141,NA,NA,NA,NA,222-444-5555 (Home)  (Work) (141) 271-3020 (Cell),222-444-5555,,,,(141) 271-3020,Yes,NA,NA,NA,NA,NA,NA,NA,lorem@gmail.com,,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/10/2018,6/10/2018,,NA,14-Aug,14-Aug,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,0,NA
2,"Robinson, Prerit",Prerit Robinson,Mrs. Prerit Robinson,Robinson,Prerit,,Mrs.,,Active,NA,NA,Individual,NA,NA,NA,6011436,"281 Marvin Road GLENSIDE, NY 19020-6449",281 Marvin Road,,,GLENSIDE,NY,19020-6449,NA,NA,NA,NA,(955) 451-5055 (Home)  (Work)  (Cell),(955) 451-5055,Yes,,,,,NA,NA,NA,NA,NA,NA,NA,k@kemhgj.xhr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/14/2018,3/14/2018,,NA,27-Apr,27-Apr,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
3,"el-Mousa, Shayana",Shayana el-Mousa, Shayana el-Mousa,el-Mousa,Shayana,,,Pronounced 'Ni-tasha',Active,NA,NA,Individual,NA,NA,NA,8249492,"999 Hermesprota Drive Rockledge, NJ 17109",999 Hermesprota Drive,,,Rockledge,NJ,17109,NA,NA,NA,NA,(864) 474-4478 (Home)  (Work)  (Cell),(864) 474-4478,Yes,,,,,NA,NA,NA,NA,NA,NA,NA,ezsrdnyp@kyc.osk,,43,0,0,0,1,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/2/2017,10/2/2017,,NA,12-Nov,12-Nov,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
4,"Garduno, April",April Garduno, April Garduno,Garduno,April,,,,Active,NA,NA,Individual,NA,NA,NA,482957,"4433 Sansom St. ,  ",4433 Sansom St.,,,,,,NA,NA,NA,NA, (Home)  (Work)  (Cell),,,,,,,NA,NA,NA,NA,NA,NA,NA,ah@one.xsa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/2/2017,4/2/2017,,NA,,,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
5,"Campa, Taahir",Taahir Campa,Ms. Taahir Campa,Campa,Taahir,,Ms.,,Active,NA,NA,Individual,NA,NA,NA,6850005,"3103 Sussex Lane Willow Grove, UT 19121",3103 Sussex Lane,,,Willow Grove,UT,19121,NA,NA,NA,NA,(303) 430-1004 (Home)  (Work)  (Cell),(303) 430-1004,Yes,,,,,NA,NA,NA,NA,NA,NA,NA,zfcl@lidczsrqb.seg,,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/7/2018,2/7/2018,,NA,6-Jun,6-Jun,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
6,"Meza, Courtni",Courtni Meza, Courtni Meza,Meza,Courtni,,,,Active,NA,NA,Individual,NA,NA,NA,3351445,"2200 S. 62th Street Mullica Hill, DE 19131",2200 S. 62th Street,,Phildelphia,Mullica Hill,DE,19131,NA,NA,NA,NA,(966) 363-6666 (Home)  (Work) (888) 822-5828 (Cell),(966) 363-6666,Yes,,,(888) 822-5828,Yes,NA,NA,NA,NA,NA,NA,NA,sanl@hszcnmi.pgq,,14.96666667,0,0,0,0,0,0,0,14.96666667,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/7/2018,6/7/2018,,NA,7-Nov,7-Nov,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,0,NA
7,"Johnson, Billy",Billy Johnson, Billy Johnson,Johnson,Billy,,,Antonio,Active,NA,NA,Individual,NA,NA,NA,670709,"2101 Frankford Ave Willow Grove, UT 19119",2101 Frankford Ave,,,Willow Grove,UT,19119,NA,NA,NA,NA,(212) 622-2122 (Home)  (Work)  (Cell),(212) 622-2122,Yes,,,,,NA,NA,NA,NA,NA,NA,NA,qlmtni@uwknrxbos.aex,,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/2/2018,1/2/2018,,NA,16-Mar,16-Mar,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
8,"el-Naqvi, Tony",Tony el-Naqvi, Tony el-Naqvi,el-Naqvi,Tony,,,,Active,NA,NA,Individual,NA,NA,NA,6747843,"11 W. Queen Lane merion, DE 19010",11 W. Queen Lane,,,merion,DE,19010,NA,NA,NA,NA,(911) 621-6866 (Home)  (Work) (362) 113-6216 (Cell),(911) 621-6866,Yes,,,(362) 113-6216,Yes,NA,NA,NA,NA,NA,NA,NA,vwjnktaoxu@kixhren.ots,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/6/2018,4/10/2018,,NA,24-Mar,24-Mar,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,0,NA
9,"Berg, Abigale",Abigale Berg, Abigale Berg,Berg,Abigale,,,,Active,NA,NA,Individual,NA,NA,NA,684447,"222 Mitchell Street Lansdale, UT 19002",222 Mitchell Street,,,Lansdale,UT,19002,NA,NA,NA,NA,(929) 199-1991 (Home) (124) 522-5225 (Work)  (Cell),(929) 199-1991,,(124) 522-5225,,,,NA,NA,NA,NA,NA,NA,NA,pd@delmtb.zjq,,80.25,0,0,0,0,0,0,0,13.25,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/24/2014,11/24/2014,,NA,,,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
10,"el-Radi, Shania",Shania el-Radi, Shania el-Radi,el-Radi,Shania,,,,Active,NA,NA,Individual,NA,NA,NA,555054,"22039 Chestnut Street, Lansdale, NY 19154","22039 Chestnut Street,",,,Lansdale,NY,19154,NA,NA,NA,NA,(239) 292-4041 (Home)  (Work) (141) 131-5051 (Cell),(239) 292-4041,Yes,,,(141) 131-5051,,NA,NA,NA,NA,NA,NA,NA,tuyrlmxd@jokr.frn,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/24/2017,10/25/2017,,NA,4-Oct,4-Oct,0,NA,,NA,NA,NA,NA,10/1/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
11,"bean, jim",jim bean,jim bean,bean,jim,,,,Active,NA,NA,Individual,NA,NA,NA,762713,"555 n. 24th St. Selinsgrove,  19132",555 n. 24th St.,3303,,Selinsgrove,,19132,NA,NA,NA,NA, (Home)  (Work)  (Cell),,,,,,,NA,NA,NA,NA,NA,NA,NA,JIMB3@gmail.com,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/29/2018,5/29/2018,,NA,,,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,0,NA
12,"Plascencia, Ilhaam",Ilhaam Plascencia, Ilhaam Plascencia,Plascencia,Ilhaam,,,,Active,NA,NA,Individual,NA,NA,NA,257288,"2888 S Juniper Street ,  ",2888 S Juniper Street,,,,,,NA,NA,NA,NA,(316) 331-0336 (Home)  (Work)  (Cell),(316) 331-0336,Yes,,,,,NA,NA,NA,NA,NA,NA,NA,buakzpn@y.zue,,8.416666667,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2017,3/29/2017,,NA,,,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
13,"el-Mousa, Mahmood",Mahmood el-Mousa,Ms. Mahmood el-Mousa,el-Mousa,Mahmood,,Ms.,,Active,NA,NA,Individual,NA,NA,NA,7023174,"6664 Pine St Doylestown,  19020",6664 Pine St,Apt. 401,,Doylestown,,19020,NA,NA,NA,NA,(111) 110-1112 (Home)  (Work)  (Cell),(111) 110-1112,Yes,,,,,NA,NA,NA,NA,NA,NA,NA,tp@xt.efv,,4.25,0,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2018,3/29/2018,,NA,21-Jul,21-Jul,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
